id_interno;numero_proyecto;extracto;Fecha;Año;Estado;Proyecto;Expediente Electrónico;TEXTO ORIGINAL;Autores
3567;Proyecto N° 660;DIRIGIRSE A LA EMPRESA YACIMIENTOS MINEROS DE AGUA DE DIONISIO (YMAD) SOLICITANDO COPIAS DEL ACTA DE DIRECTORIO DEL DIA 03 DE OCTUBRE DE 2019 Y CONTESTE EL RESPECTIVO INFORME.;2019-10-17;2019;ARCHIVADO;Resolución;;;
3568;Proyecto N° 612;MODIFICACION DEL REGLAMENTO INTERNO.;2019-10-20;2019;ARCHIVADO;Resolución;;;
3569;Proyecto N° 661;DECLARASE DE INTERES PARLAMENTARIO, CULTURAL Y PRODUCTIVO LA INICIATIVA DE LOS ALUMNOS DE LA  ESCUELA PRIMARIA N° 495 DE LOS NACIMIENTOS, ANTOFAGASTA DE LA SIERRA.;2019-10-21;2019;ARCHIVADO;Declaración;;;
3570;Proyecto N° 662;SOLICITAR UN INFORME AL P.E. P. SOBRE EL CUMPLIMIENTO DEL CONVENIO CORRESPONDIENTE AL PLAN PROVINCIAL DE MEJORA DE LOS SISTEMAS DE RIEGO PARA RECUPERACION Y AMPLIACION PRODUCTIVA.;2019-10-21;2019;ARCHIVADO;Resolución;;;
3571;Proyecto N° 663;DECLARESE DE INTERES LEGISLATIVO EL TE A BENEFICIO POR LA SEMANA DEL PREMATURO.;2019-10-21;2019;ARCHIVADO;Declaración;;;
3572;Proyecto N° 664;DECLARASE DE INTERES PARLAMENTARIO EL APORTE A LA CULTURA DE CATAMARCA  REALIZADO POR LA RECONOCIDA ACTRIZ NACIONAL BLANCA GAETE.;2019-10-21;2019;ARCHIVADO;Declaración;;;
3573;Proyecto N° 665;DECLARASE DE INTERES PARLAMENTARIO EL APORTE A LA CULTURA DE CATAMARCA REALIZADO POR SARA JOSEFA TORRENT.;2019-10-21;2019;ARCHIVADO;Declaración;;;
3574;Proyecto N° 666;DECLARASE DE INTERES PARLAMENTARIO EL APORTE A LA CULTURA DE CATAMARCA REALIZADO POR EL SEÑOR ADOLFO MARCELO AMADOR.;2019-10-21;2019;ARCHIVADO;Declaración;;;
3575;Proyecto N° 668;CREASE EN EL AMBITO DE LA CAMARA DE DIPUTADOS DE LA PROVINCIA LA  COMISION PERMANENTE DENOMINADA COMISION DE GENERO Y DIVERSIDAD.;2019-10-22;2019;ARCHIVADO;Decreto Cámara;;;
3576;Proyecto N° 669;DECLARASE DE INTERES EDUCATIVO Y PARLAMENTARIO A LA DEDICACION Y EL ESFUERZO EN LA TAREA REALIZADA POR LOS DOCENTES LEONARDO CARRIZO Y DANIEL REALES, DE TRANSMITIR LA EDUCACION PUBLICA EN LOS LUGARES MAS INHOSPITOS DE NUESTRA PROVINCIA.;2019-10-22;2019;ARCHIVADO;Declaración;;;
3577;Proyecto N° 670;ESTABLECESE, EN TODO EL AMBITO DE LA PROVINCIA DE CATAMARCA, LA IMPLEMENTACION DEL PROGRAMA BUENAS PRACTICAS AGROPECUARIAS, CON EL ALCANCE Y DE CONFORMIDAD A LO ESTABLECIDO EN LA PRESENTE LEY2.;2019-10-22;2019;ARCHIVADO;Ley Provincial;;;
3578;Proyecto N° 671;DECLARASE DE INTERES PARLAMENTARIO Y CULTURAL EL RECONOCIMIENTO OBTENIDO POR EL JOVEN CATAMARQUEÑO GABRIEL VEGA VERA, AL CONSAGRARSE CAMPEON DE MALAMBO EN EL EVENTO LITORAL DANZA, REALIZADO EN LA PROVINCIA DE CORRIENTES.;2019-10-23;2019;ARCHIVADO;Declaración;;;
3579;Proyecto N° 672;DECLARASE DE INTERES PARLAMENTARIO, CULTURAL Y EDUCATIVO EL RECONOCIMIENTO OBTENIDO POR LA ESCUELA SECUNDARIA N° 11 ABEL ACOSTA, DE SANTA MARIA, AL CONSAGRARSE FINALISTA DEL PREMIO PRESIDENCIAL ESCUELAS SOLIDARIAS;2019-10-24;2019;ARCHIVADO;Declaración;;;
3580;Proyecto N° 673;DECLARASE DE INTERES PARLAMENTARIO Y EDUCATIVO EL RECONOCIMIENTO OBTENIDO POR AMALIA AGÑERO, DIRECTORA DE LA ESCUELA N° 474 DE EL TOLAR, DEPARTAMENTO BELEN, AL SER POSTULADA PARA EL PREMIO GLOBAL TEACHER PRIZE, CONSIDERADO EL NOBEL DE EDUCACION.;2019-10-25;2019;ARCHIVADO;Declaración;;;
3581;Proyecto N° 674;EXPRESASE EL MAS ENERGICO REPUDIO Y RECHAZO A LA VIOLENCIA EJERCIDA POR EL ESTADO SOBRE EL PUEBLO DE CHILE, QUE COSTO INNUMERABLES CANTIDAD DE MUERTOS.;2019-10-25;2019;ARCHIVADO;Declaración;;;
